,activites,backgrounds,description,duration,end,languages,location,natioinalities,organization,positions,salary,selections,skills,start,url
17,Develop and execute a marketing strategy to take our online survey to market & monetize this product,"Preferred Marketing, Business administration, Entrepreneurship","        We have developed an online survey that gives college students and recent graduates an insight into their own thinking, preferences and work style. This product is not in the market yet. The trainee would help in setting up marketing campaigns (incl. website), establish a presence on social media, find other target audiences, create support materials and provide feedback and guidance around the product design and how to pursue the market of 18-24 year olds.      ",13 Weeks,01-Dec-17,No preferences,"Wezemaal, Belgium",No preferences,SommerYeager,1,Unpaid,Screening of CV's by AIESEC in Leuven - screening & assessment by AIESEC in Leuven - interview by AIESEC in Leuven- interview by the companyThe start date is preferred to be AS SOON AS POSSIBLE,"Preferred Recruiting, Organisational Management, Project Management, Market Research, Digital Marketing",01-Sep-17,http://aiesec.org/opportunity/859194
18,Research and report on clients' needs and competitor analysis,"Preferred Industrial engineering, Business administration","        With support from Pear Comm's entrepreneurial team, experience steering the directions of their product, QuickDesk. You will learn about translating customer insights into actions, researching and presenting competitor analysis and new market opportunities.      ",729 SGD per Month ,13 Weeks,No preferences,"Singapore, Singapore","Preferred New Zealand, Switzerland, Japan, Hong Kong, Australia, Germany, United States, United Kingdom, France",Pear Comms,07-Sep-17,1,Computer Provided,"Preferred Time Management, Presentation skills, Javascript",07-Dec-17,http://aiesec.org/opportunity/859010
19,Assist in maintaining and optimising social media channels,"Preferred Marketing, Business administration","        Assist in planning, executing and optimising marketing efforts in local and overseas markets across various digital channels for our flagship product, QuickDesk.      ",750 SGD per Month ,13 Weeks,No preferences,"Singapore, Singapore","Preferred Japan, Hong Kong, Switzerland, New Zealand, Australia, Germany, United States, United Kingdom, France",Pear Comms,07-Sep-17,1,Computer Provided,"Preferred Photoshop, Leadership, Project Management, Sales, Content Marketing",07-Dec-17,http://aiesec.org/opportunity/858928
20,- Identify leads through proactive prospecting and various outreach methods (call/email/LinkedIn);,"Preferred Marketing, Business administration","        - Objectives: contribute to our sales team to create meaningful impacts; work closely withour various departments to assist with business development activities such as marketresearch, marketing, pitching, etc.- Expected result/impact: grow and scale up our businesses in Singapore and other Asianmarkets, such as Hong Kong and Malaysia.      ",750 SGD per Month ,12 Weeks,No preferences,"Singapore, Singapore","Preferred Switzerland, United Kingdom, United States, Germany, Japan, Australia, Hong Kong, France, New Zealand",Pear Comms,07-Sep-17,1,Computer Provided,"Preferred Photoshop, MacOS, Windows, Organisational Management, Project Management, Team Management, Presentation skills, Leadership",01-Dec-17,http://aiesec.org/opportunity/858923
21,"Lead project team (logistics, communications, sponsorship and stakeholders)","Preferred Marketing, Communication & journalism, Business administration","        The project manager is responsible for the successful execution of the Future Business Forum 2040 event where will discuss the business opportunities of the next 30 years with international speakers and facilitators; Creating, leading and coordinating communication between the logistics, positioning, financing and stakeholders team to deliver a successful event      ",25 Weeks,30-Mar-18,No preferences,"Quito, Ecuador",No preferences,WakeUp,1,100 USD per Month ,1) Interview by AIESEC in Ecuador 2) Shortlist of applicants 3) Selection Announcements,"Preferred Project Management, Business Intelligence, Public Relations, Leadership, Team Management",02-Oct-17,http://aiesec.org/opportunity/858845
22,Error checking and fixing. The target error is jumpy tracks.,"Preferred Computer sciences, Computer engineering, Marketing","        We are looking for a Web/Software Developer Intern with regards of system integration with various solutions. To provide an extensive solutions of Fleet Management System provider that could integrate with Live Dispatch, Automated Delivery Planning System, Data Integration, Live Video Viewing, Cement Mixer System and Warehouse Inventory System.      ",13 Weeks,30-Nov-17,No preferences,"Singapore, Singapore",No preferences,Skyfy Technology Pte Ltd,1,750 SGD per Month ,"1. Apply on opportunities.aiesec.org 2. Apply on our Podio webform (podio.com/webforms/4710126/369491) 3. You will receive an e-mail from us to schedule an interview IF YOU ARE ELIGIBLE 4. Applicants will go through a round of interviews from AIESEC if they have passed CV screening 5. Applicants will be referred to company 6. The company will conduct another interview, and will make their decision.","Preferred PHP, UNIX, SQL, MySQL, Javascript, Java, HTML, Windows PC usage, Internet usage, Technical Support, Research",31-Aug-17,http://aiesec.org/opportunity/858768
23,Collaborating with SEO and SEM teams in order to share knowledge,Required Software development and programming Preferred Marketing,"        The main activities of the company are E-Business marketing consulting, set up a website and search engine optimization, optimize the rank of website with special keywords, fix some metrics that have problems on website to increase the speed of optimization and analyze websites for better results on Google and presence on search engines, Internet and prosperity to the business and market.** The EPs should have background on Search Engine Optimisation (SEO)**      ",8 Weeks,01-Feb-18,No preferences,"Tehran, Iran",No preferences,Novin Marketing,1,Unpaid,"After applying, you will receive a welcome email within 2 days. Then we will set an interview with you and after that we send your CV to company. Then you will have a professional interview with the company. (Starting time is flexible)","Required Creativity, Market Research Preferred Client servicing, Data Analysis",01-Dec-17,http://aiesec.org/opportunity/858619
24,Market research for the new products.,"Preferred Business administration, International Trade","        As Business Development trainee you will work with a new brand of Storelevel, you will be in charge of  market research, development an pursuit of opportunities for long-term business and clients. You will manage relations with suppliers, development of new products, distribution channels, sales and partnerships with other companies.      ",500 MXN per Month ,13 Weeks,No preferences,"Ciudad de México, Mexico","Preferred Brazil, United States, Canada, Italy, Spain, France",Storelevel,28-Aug-17,1,Computer Provided,"Preferred Business Intelligence, Negotiation, Client servicing, Market Research, Adaptability, Creativity, Leadership, Windows PC usage",28-Nov-17,http://aiesec.org/opportunity/858561
25,Offline Marketing,Required Marketing,"        - Recruit Students- Online and Offline Advertising- Team Worker, Office Friendly      ",Unpaid,13 Weeks,No preferences,"Kuala Lumpur, Malaysia","Preferred The Netherlands, Belgium, Sweden, Norway, Denmark, Ireland, Canada, United States",Elicos Malaysia,14-Sep-17,1,Computer Provided,Required Content Marketing Preferred Sales,14-Dec-17,http://aiesec.org/opportunity/858543
26,Contacting new clients and approaching new market sectors,"Preferred Marketing, Tourism & hotel management","        Gain the exposure, experience in Managing operations in Destinations Management and Hospitality Industry while grooming him/herself in achieving future development in the industry      ",13 Weeks,10-Dec-17,No preferences,"Aluthgama, Sri Lanka",No preferences,Amith Tours and Travels ( Pvt) Ltd,3,Unpaid,"Screening based on CV, Region and availabilty Skype interview","Preferred Sales, Digital Marketing, Client servicing, Internet usage, Windows PC usage",10-Sep-17,http://aiesec.org/opportunity/858478
27,Lead generation via market research,"Preferred Public relations, Marketing, Business administration","        Sales executives are the key point of contact between an organisation and its clients:answering queries, offering advice and introducing new products.We prefer Malaysian Local as he will be dealing with Malaysians mostly and it is better tohave native tongue to help close the dealsData Driven – Good communication skills – Persuasive      ",Unpaid,13 Weeks,No preferences,"Kuala Lumpur, Malaysia",Preferred Malaysia,OneUni Technology Sdn Bhd,15-Aug-17,1,Computer Provided,"Required Client servicing, Sales, Content Marketing, Presentation skills Preferred Organisational Management",15-Nov-17,http://aiesec.org/opportunity/858449
28,Work with Google/Facebook/Twitter analytic tools/campaigns,"Preferred Public relations, Marketing, Business administration","        Manage social media marketing campaigns and day-to-day activities including: Developrelevant content topics to reach the company's target customers. Create, curate, and manageall published content (images, and written)Prefer someone who has understanding to the local culture or the targeted audiencementality , or a fast learner to adapt and communicate in an acceptable wayData Driven – Good communication skills – Persuasive      ",13 Weeks,15-Nov-17,No preferences,"Kuala Lumpur, Malaysia",No preferences,OneUni Technology Sdn Bhd,1,Unpaid,Initial CV screening by AIESEC in TU - Shortlisted CVs will be sent to company for further review - company shortlist candidates for interview - interview - Feedback and Decision from company - AIESEC in TU will inform candidates of results via email,"Required Client servicing, Content Marketing, Presentation skills Preferred Organisational Management",15-Aug-17,http://aiesec.org/opportunity/858445
29,.,Preferred Marketing,        CONOCIMIENTOS EN:Marketing de afiliados/marketing estrategico/marketing tradicional/marketing digital/marketing virtual/neuromarketing      ,Unpaid,13 Weeks,No preferences,"Arequipa, Perú","Preferred Brazil, Mexico, Argentina, Colombia",SHOW DENT,15-Aug-17,1,Computer Provided,"Preferred Content Marketing, Digital Marketing, Sales",15-Nov-17,http://aiesec.org/opportunity/858186
30,Help Storelevel to understand the market of Puerto Rico.,"Preferred Business administration, Entrepreneurship","        The responsible for the market expansion of Storelevel in Puerto Rico will help to the team in Mexico to understand the market, identify oportunity areas, create strategies in order to help to Storelevel to get into the market of Puerto Rico, develop strategies for start and increase the brand exposure and get new clients. The market expansion responsible will have the opportunity of work in Strorelevel Puerto Rico on his/her return.      ",500 MXN per Month ,13 Weeks,No preferences,"Ciudad de México, Mexico",Required Puerto Rico,Storelevel,28-Aug-17,1,Computer Provided,"Preferred Business Intelligence, Market Research, Adaptability, Agile development, Critical Thinking, Creativity, Leadership, Negotiation, Windows PC usage",28-Nov-17,http://aiesec.org/opportunity/858131
31,Designing Presentations,"Preferred Graphic design, Design, Marketing","        Are you interested in design and making animation?Challenge yourself by applying in this opportunity now!In this opportunity, you will work on a company that works on presentation designing. The Start Up originally come from Denmark, and opening it's new office in Malang. They made impactful presentations by using PowerPoint, Keynote, Prezi and many more! Brave yourself in presentation designing by making animations, making creative concepts, and also making a various design styles!      ",11 Weeks,03-Nov-17,No preferences,"Malang, Indonesia",No preferences,24Slides,1,Unpaid,Apply in Opportunity Portal -> Send your CV to the IR Manager of AIESEC LC UNIBRAW's email -> Arrange Interview with AIESECer -> Arrange Interview with TN representative -> Announcement within 3 days,"Required Keynote, Microsoft Powerpoint, Photoshop, Presentation skills, Adobe Illustrator",14-Aug-17,http://aiesec.org/opportunity/858013
32,Creation of content for social network.,"Preferred Communication & journalism, Marketing","        As Storelevel´s community manager you will be in charge of the management of Storelevel´s social networks (facebook, twitter, instagram) and other brands of the company in order to implement strategies that will help the company to grow, to get new customers, sales, discover new markets and areas of opportunity of all the brands of Storelevel.      ",500 MXN per Month ,13 Weeks,No preferences,"Ciudad de México, Mexico","Preferred Brazil, Italy, Canada, United States, France",Storelevel,28-Aug-17,1,Computer Provided,"Preferred Content Marketing, Content Strategy, Web Content, Windows PC usage, Social Media Management, Data Analysis, Adobe Illustrator, Creativity, Digital Marketing",28-Nov-17,http://aiesec.org/opportunity/857965
33,Working with clients to discuss the images they require and how they want to use them.,"Preferred Graphic design, Design","        We are looking for a passionate Photographer who will be assisting owner in all the activities of start-up. Intern will be working in the field of Fashion, event, wedding, travel, photojournalism, product, food, architectural, and portraiture photography. Intern will be having whole exposure on the current scenario of photography in the city and will be assisting owner to create a benchmark for Globetrotter1124.      ",Unpaid,13 Weeks,No preferences,"VADODARA, INDIA","Preferred Egypt, Russia, Spain, Morocco, Thailand, Singapore, Maldives",Globetrotters1124,25-Aug-17,3,Computer Provided,"Preferred Public Relations, Client servicing, Presentation skills, Photoshop",24-Nov-17,http://aiesec.org/opportunity/857920
34,Marketing plan,"Required Marketing, Business administration, Entrepreneurship","        MKBT, which stands for Make Better, is a fresh start-up in urban development and regeneration in Romania. We combine top know-how, dedicated passion and bold vision to tackle our cities most stringent needs. For more information regarding the Job-Description, please visit this link:  docs.google.com/document/d/1IdxMxnKzytQ7aJIynSeZ5MJvss2W7de0CSyV6BDMn0c/edit      ",13 Weeks,20-Nov-17,No preferences,"Bcuuresti, Romania",No preferences,MAKE BETTER MKBT,1,Unpaid,"1. Apply on the opportunity 2. Make sure you read all the details of the opportunities 3. Create a video by these characteristics - Length 3-5 minutes - No background music, a silent environment - Dressed appropriately (business casual) 4. In the video answer to the questions you will receive in the email from us. 5. Submit the video in the link you will receive from us. 6. Create the first lesson for Beginners, Intermediates and Advanced.","Preferred Content Marketing, Digital Marketing, Market Research",20-Aug-17,http://aiesec.org/opportunity/857684
35,Collect data on the external environment and consolidate information into actionable items,Required Marketing,"        We are looking for a methodical Market Research analyst to survey customer preferences and statistical data in order to support customers during their decision making process regarding product designs, prices and promotions. The successful market researcher will be able to analyze autonomously qualitative data, trends, strategies and competition aiming at increasing competitiveness.      ",9 Weeks,22-Dec-17,No preferences,"Athens, Greece",No preferences,Mentor,1,Unpaid,"1) Apply 2) A 2 minute video of each EP, within 24 hours, talking about the following: a) Why internship through AIESEC b) Why Greece c) What are your skills d) What are y?u going to offer in a start up e) Your availability 3) Interview by the start-up 4) Accept 5) To be Approved within 48 hours: a) LDA b) Acceptance Note contract c) Payments","Required Market Research Preferred Public Relations, Sales, Content Marketing, Presentation skills, Project Management",16-Oct-17,http://aiesec.org/opportunity/857611
36,Cultivate a solid body of work.,Required Graphic design,"        We are looking for an experienced creative Graphic designer with up-to-date knowledge to interpret our clients needs and to design solutions with high visual impact. You will work on a variety of products, including websites, books, magazines, product packaging, websites, exhibitions, corporate identity etc. and you will cooperate with our designers and sales team. The goal is to get the clients’ message across.      ",9 Weeks,22-Dec-17,No preferences,"Athens, Greece",No preferences,Mentor,1,Unpaid,"1) Apply 2) A 2 minute video of each EP, within 24 hours, talking about the following: a) Why internship through AIESEC b) Why Greece c) What are your skills d) What are y?u going to offer in a start up e) Your availability AND a portfolio of your work 3) Interview by the start-up 4) Accept 5) To be Approved within 48 hours: a) LDA b) Acceptance Note contract c) Payments","Required Creativity, Adobe InDesign, Adobe Illustrator, Adobe Dreamweaver, Photoshop, Time Management",16-Oct-17,http://aiesec.org/opportunity/857605
37,Evaluate emerging technologies.,Required Marketing Preferred Business administration,"        We are looking for a Digital Marketer to develop, implement, track and optimize our digital marketing campaigns across all digital channels. You should have a strong grasp of current marketing tools and strategies and be able to lead integrated digital marketing campaigns from concept to execution. Digital marketer will work with the marketing team, supporting teams (such as programmers), and vendors to launch campaigns on time and on budget.      ",9 Weeks,22-Dec-17,No preferences,"Athens, Greece",No preferences,Mentor,1,Unpaid,"1) Apply 2) A 2 minute video of each EP, within 24 hours, talking about the following: a) Why internship through AIESEC b) Why Greece c) What are your skills d) What are y?u going to offer in a start up e) Your availability 3) Interview by the start-up 4) Accept 5) To be Approved within 48 hours: a) LDA b) Acceptance Note contract c) Payments","Preferred Content Marketing, Digital Marketing, Adaptability, Market Research, Project Management, Organisational Management",16-Oct-17,http://aiesec.org/opportunity/857598
38,"Generate, edit and publish online marketing content.","Preferred Communication & journalism, Marketing",        Previous work experience as a Social media specialist (preferable if it`s proven).Good understanding with social media platforms.Well organized.Knowledge of online marketing.Detail and customer oriented.      ,6 Weeks,29-Oct-17,No preferences,"Kragujevac, Serbia",No preferences,Termogama,1,Unpaid,"After you apply (in less than 24h from applying), you will have an interview with a person from AIESEC. If you pass it, your CV will be forwarded to the company. If they marked your CV as a good one, you will have an interview with the company. While the whole process you will be in touch with AIESEC. Good luck! :)","Required Social Media Management Preferred Blogging, Writing",14-Sep-17,http://aiesec.org/opportunity/857488
39,Provide linguistics training(basic level) to co-workers,"Preferred Business administration, Marketing, Linguistics",        -Competitive analysis-Identify the business leads within assigned region and establish contact -Assist the Business Development Team in overcoming regional and cultural barriers by communicating with native customers-Assist in drafting marketing collateral in native languages for the assigned region -Develop Tradekey's Business Development Strategy report of assigned region-Provide linguistics training(basic level) to co-workers      ,250 USD per Month ,13 Weeks,No preferences,"Karachi, Pakistan","Preferred China, Mainland",Technado,10-Aug-17,1,Computer Provided,"Preferred Project Management, Training, Language Teaching, Internet usage, Sales, Market Research, Client servicing",10-Nov-17,http://aiesec.org/opportunity/857487
40,Provide linguistics training(basic level) to co-workers,"Preferred Marketing, Linguistics, Business administration",        -Competitive analysis-Identify the business leads within assigned region and establish contact -Assist the Business Development Team in overcoming regional and cultural barriers by communicating with native customers-Assist in drafting marketing collateral in native languages for the assigned region -Develop Tradekey's Business Development Strategy report of assigned region-Provide linguistics training(basic level) to co-workers      ,250 USD per Month ,13 Weeks,No preferences,"Karachi, Pakistan",Required Russia,Technado,10-Aug-17,1,Computer Provided,"Preferred Presentation skills, Internet usage, Client servicing, Language Teaching, Sales, Training, Project Management, Market Research",10-Nov-17,http://aiesec.org/opportunity/857485
41,"Produce and commission tourist information, including art work, and write press releases.",Required Marketing Preferred Business administration,"        As a tourism officer you will develop and promote tourism in order to attract visitors and generate income for a particular region or site. Tourism officers, also known as destination managers, work for a range of employers, including public and private destination management organisations, public agencies or partnerships and local authorities. Key areas include marketing, visitor management and the development of tourism products, services and facilities.      ",Unpaid,9 Weeks,No preferences,"Athens, Greece","Preferred India, China, Mainland",Mentor,16-Oct-17,1,Computer Provided,"Required Content Marketing, Digital Marketing Preferred Team Management, Event Planning, Content Strategy, Presentation skills",22-Dec-17,http://aiesec.org/opportunity/857467
42,Importing Products,"Preferred Computer sciences, Design, Media Arts",        The intern will be of service in the activities bellow. Furthermore they will be taught any other skills needed from the startup responsible.      ,6 Weeks,01-Oct-17,No preferences,"Thessaloniki, Greece",No preferences,ANAMO,1,Unpaid,The applicant has to create a short video (3-5 minutes duration). In the video they have to: - Introduce themselves. - Talk about their studies and experience in the field. - Mention what their knowledge of the things mentioned above ( role description and main activities). - Refer to how they can contribute and why are they motivated to participate. Good luck!,"Required Google Drive, Internet usage Preferred Creativity",19-Aug-17,http://aiesec.org/opportunity/857408
43,Conduct cold calls and set up meetings with potential customers,Preferred Marketing,        SALES & MARKETING DEPARTMENT      ,230 USD per Month ,11 Weeks,No preferences,"Nairobi, Kenya","Preferred Singapore, China, Mainland, Canada, United States, Ethiopia, Rwanda, Tanzania, Uganda, France, Germany",MEDBOOK AFRICA,01-Sep-17,1,Computer Provided,"Preferred Sales, Business Intelligence, Digital Marketing",17-Nov-17,http://aiesec.org/opportunity/857326
